;0
0;0.3068966437545784
1;0.5637543712948816
2;0.5187024736534714
3;8.567416386292537
4;0.02101245814029959
5;0.1720474696357815
6;0.30282266603508295
7;1.7691311738898736
8;1.5416797131440678
9;1.0033362723994084
10;0.14077854167579135
11;1.2395274393055258
12;2.2076532560640874
13;1.1269859289670232
14;0.11475662245006395
15;1.5545969458520856
16;0.5119531112918339
17;0.8221997460357626
18;1.5681830337148015
19;2.875985197854876
20;0.15253655670032618
21;1.4979793720241852
22;0.09499492838964116
23;2.1788713954510466
24;0.8314426728288963
25;3.357222804498979
26;2.965552725957418
27;0.5292874209804014
28;0.8144203679834187
29;1.7618991198156315
30;0.15384668775612576
31;0.3290577304974765
32;0.06726674941289386
33;1.6870765488502162
34;0.3115878622106646
35;0.9501804750639596
36;0.06681205626282825
37;2.2809335164488718
38;1.055148524580135
39;0.7317473915168081
40;0.09721840346230445
41;0.3704378659205496
42;0.6715264916487286
43;0.8289714634418601
44;1.5538893630224915
45;4.2763904060806635
46;3.761249130941779
47;0.6008739917576559
48;0.5385700938167233
49;0.49582818184380584
50;2.9018471413567846
51;0.07124241011141921
52;1.4588883394919543
53;0.042811277554518745
54;0.4095266148656084
55;0.016403408933946803
56;0.45276700205872644
57;0.08396358833367931
58;0.35889666379243107
59;0.5459365910099343
60;0.08675614557379166
61;0.5064671598366636
62;0.09624627111566192
63;0.4865764303445172
64;2.3386913029990497
65;0.4947967099432434
66;0.8296339569429486
67;0.6054301889596738
68;1.0170744207965094
69;2.8080980194384777
70;0.0044566843120906596
71;0.1910343859996705
72;0.9458164744682485
73;0.867127410928681
74;0.04692424446383301
75;1.1686502056621
76;0.9800925903669507
77;0.14911612451380768
78;1.2119735652353925
79;0.48572757426777163
80;2.034497602418174
81;0.7796506514158797
82;0.9064490994728527
83;0.15589217028899147
84;0.6295195573043683
85;1.9010366924909399
86;0.7099760443035328
87;0.18981719751037016
88;1.496549368238444
89;0.17487689062800602
90;0.5084579503269381
91;1.6669489372764892
92;2.8227968480742667
93;2.9171867913808045
94;1.417272820219351
95;1.7597661084850986
96;0.6902016882059059
97;0.7158777445699748
98;0.07882211441288019
99;0.08586017158475784
